"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Trim63",8.02756726371468e-209,-1.2191453647887,0.875,0.978,1.60551345274294e-205
"Pfkfb3",1.16883279254062e-207,1.23898915384019,0.95,0.786,2.33766558508125e-204
"Slc38a2",1.96507439001994e-147,-1.0438781569281,0.703,0.903,3.93014878003988e-144
"Atp1b1",4.64259196007256e-98,-0.890249544889062,0.189,0.509,9.28518392014512e-95
"Fbxo32",2.81562431350397e-97,-0.75701523849194,0.696,0.895,5.63124862700794e-94
"Ddit4l",5.77304856025828e-90,0.878948615860613,0.544,0.243,1.15460971205166e-86
"Asb2",9.01447325147702e-82,-0.806990124768701,0.844,0.932,1.8028946502954e-78
"Pank1",1.31653525512564e-62,-0.966600144933197,0.244,0.481,2.63307051025128e-59
"Myh1",1.38784686119572e-46,-1.72776324931563,0.58,0.702,2.77569372239145e-43
"Nrip1",2.26199324315693e-44,0.526601866789019,0.842,0.715,4.52398648631386e-41
"Timp3",4.26955118833033e-35,0.811723283002481,0.299,0.135,8.53910237666066e-32
"Egln3",7.23474159697372e-35,-0.379713908408,0.032,0.148,1.44694831939474e-31
"Npc1",2.4655749079129e-33,-0.531689644905761,0.656,0.771,4.93114981582579e-30
"Asb4",2.9302599996726e-27,0.484101533803953,0.257,0.12,5.86051999934519e-24
"Ky",8.80174450103955e-24,-0.316390968674868,0.953,0.963,1.76034890020791e-20
"Ahnak",9.74867266398097e-19,0.41807222305449,0.318,0.2,1.94973453279619e-15
"Stxbp4",1.17171808177119e-18,0.343185003035862,0.768,0.683,2.34343616354239e-15
"Crim1",1.3179202223247e-16,0.438020397969994,0.89,0.888,2.63584044464939e-13
"Tsc22d3",5.76158610757063e-14,0.402156902470878,0.488,0.383,1.15231722151413e-10
"Pdk4",1.82769548985499e-11,0.262974307403555,0.425,0.322,3.65539097970999e-08
"Igfbp5",4.04695642711354e-07,0.364226171448808,0.228,0.164,0.000809391285422707
