"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egln3",0,0.26191281943779,0.814,0.032,0
"Pank1",3.70198073127222e-294,1.12834344171762,0.98,0.244,7.40396146254444e-291
"Tbc1d4",9.95975223431072e-261,0.90400713010215,0.888,0.15,1.99195044686214e-257
"Atp1b1",1.88582440634315e-206,1.16031589365816,0.857,0.189,3.7716488126863e-203
"Pfkfb3",1.41533704825528e-145,-0.56686296970586,1,0.95,2.83067409651056e-142
"Myh1",9.37976662746124e-111,1.98863477374697,0.801,0.58,1.87595332549225e-107
"Timp3",2.47532733956699e-100,-0.778634452217896,0.962,0.299,4.95065467913399e-97
"Ahnak",3.88452782192579e-61,-0.304932342230885,0.904,0.318,7.76905564385158e-58
"Slc38a2",1.92216713118577e-58,0.831192558755189,0.965,0.703,3.84433426237154e-55
"Myh10",7.72414656978556e-38,0.402911297183501,0.639,0.061,1.54482931395711e-34
"Asb2",5.91036973941155e-32,0.407476030663249,0.938,0.844,1.18207394788231e-28
"Trim63",8.7129041503655e-30,0.442093945790703,0.981,0.875,1.7425808300731e-26
"Nrip1",3.27950091450023e-28,-0.283094436573726,0.857,0.842,6.55900182900047e-25
"Fbxo32",3.30852126361152e-26,0.330936168364374,0.952,0.696,6.61704252722304e-23
"Irs1",2.40169000190632e-24,-0.4722433611568,0.99,0.782,4.80338000381265e-21
"Asb4",7.63455040855987e-19,-0.305674804678455,0.756,0.257,1.52691008171197e-15
"Slc38a4",1.70719357357754e-18,-0.279485193500733,0.588,0.351,3.41438714715508e-15
"Tsc22d3",0.0164054150413098,-0.327048263889773,0.784,0.488,1
"Ddit4l",0.370044053320369,-0.473854732590897,0.983,0.544,1
