"","Gene","Tissue","Group","Amplitude","Phase","peakTime","Basal","R2","pvalue","circgene"
"363","Dbp","muscle","old",1.55,21.1,8.92,6.26,0.971,1.21e-07,"Yes"
"206","Usp2","muscle","aged",0.588,18.5,11.5,7.9,0.966,2.47e-07,"Yes"
"361","Dbp","muscle","young",1.48,19.5,10.5,6.62,0.955,8.59e-07,"Yes"
"398","Nfil3","muscle","aged",1.07,10.6,19.4,5.3,0.953,1.02e-06,"Yes"
"223","Wsb1","muscle","young",0.786,7.11,22.9,4.75,0.953,1.08e-06,"Yes"
"400","Nrip1","muscle","young",0.896,16.1,13.9,5.42,0.952,1.14e-06,"Yes"
"403","Per2","muscle","young",1.38,17.1,12.9,4,0.941,2.99e-06,"Yes"
"281","Dyrk2","muscle","aged",0.496,8.22,21.8,7.16,0.94,3.15e-06,"Yes"
"362","Dbp","muscle","aged",1.53,21.3,8.66,6.53,0.94,3.19e-06,"Yes"
"404","Per2","muscle","aged",1.22,17.9,12.1,4.02,0.934,4.8e-06,"Yes"
"205","Usp2","muscle","young",0.646,17.6,12.4,7.9,0.93,6.31e-06,"Yes"
"207","Usp2","muscle","old",0.515,20,10,7.42,0.922,1.01e-05,"Yes"
"472","Arrdc3","muscle","young",0.84,12.9,17.1,6.17,0.922,1.02e-05,"Yes"
"220","Asb2","muscle","young",0.48,6.98,23,9.97,0.92,1.15e-05,"Yes"
"28","Col5a3","muscle","young",0.731,3.97,2.03,5.06,0.92,1.17e-05,"Yes"
"280","Dyrk2","muscle","young",0.673,6.62,23.4,7.08,0.919,1.21e-05,"Yes"
"379","Irf2bp2","muscle","young",0.565,8.45,21.5,5.55,0.918,1.27e-05,"Yes"
"448","Slc16a9","muscle","young",0.782,9.38,20.6,4.42,0.91,1.97e-05,"Yes"
"397","Nfil3","muscle","young",1.06,9.11,20.9,5.36,0.909,2.1e-05,"Yes"
"490","Lrrc38","muscle","young",0.431,7.55,22.5,6.11,0.906,2.43e-05,"Yes"
"91","Pnpla3","muscle","young",0.916,8.11,21.9,2.35,0.903,2.71e-05,"Yes"
"473","Arrdc3","muscle","aged",0.618,14.2,15.8,6.09,0.903,2.72e-05,"Yes"
